Title,Genre,Rating IMDB,Rating TOMATO,Age Rating,Production Country,OTT
블랙 도브 (2024),"스릴러, 범죄, 액션, 드라마",7.2,94.0,19,영국,Netplix
소용돌이 (2024),"애니메이션, 드라마, 공포, SF",6.5,80.0,15,"미국, 일본",Netplix
칼키 AD 2898년 (2024),"판타지, SF, 스릴러, 액션, 드라마",7.1,77.0,15,인도,Netplix
캐리온 (2024),"액션, 스릴러, 범죄, 드라마",6.5,88.0,15,미국,Netplix
월레스와 그로밋: 복수의 날개 (2024),"코미디, 애니메이션, 가족, SF",7.7,100.0,전체 이용가,영국,Netplix
완벽한 우리집으로 (2024),"드라마, 코미디",7.0,78.0,19,미국,Netplix
드래곤볼 다이마 (2024),"애니메이션, 액션, 코미디, SF, 판타지",8.1,100.0,12,일본,Netplix
단다단 (2024),"SF, 스릴러, 애니메이션, 액션, 코미디, 판타지, 로맨스",8.5,100.0,7,일본,Netplix
혼돈의 세상에서 (2024),"액션, 드라마, 범죄, 스릴러",6.4,75.0,19,미국,Netplix
눈물의 여왕 (2024),"드라마, 코미디, 로맨스",8.2,100.0,15,대한민국,Netplix
우린 반대야 (2024),"로맨스, 코미디, 드라마",7.9,94.0,19,미국,Netplix
NA HONJAMAN REBEREOP (2024),"판타지, 애니메이션, 액션, SF",8.3,100.0,전체 이용가,"일본, 대한민국",Netplix
스파이가 된 남자 (2024),"코미디, 범죄",7.7,96.0,15,미국,Netplix
백년의 고독 (2024),"드라마, SF, 판타지, 역사",8.5,85.0,19,콜롬비아,Netplix
베이비 레인디어 (2024),드라마,7.7,99.0,19,영국,Netplix
외계+인 2부 (2024),"액션, 판타지, SF",6.5,64.0,전체 이용가,대한민국,Netplix
파묘 (2024),"스릴러, 공포, 드라마",6.9,95.0,15,대한민국,Netplix
젠틀맨: 더 시리즈 (2024),"범죄, 액션, 코미디, 드라마",8.0,75.0,19,"미국, 영국",Netplix
JIGRA (2024),"범죄, 드라마, 스릴러, 액션",6.1,69.0,15+,인도,Netplix
오늘의 여자 주인공 (2024),"범죄, 드라마, 스릴러",6.6,91.0,전체 이용가,미국,Netplix
삼체 (2024),"SF, 스릴러, 드라마, 판타지",7.5,79.0,19,미국,Netplix
완전무결한 커플 (2024),"드라마, 스릴러, 범죄",6.5,65.0,19,미국,Netplix
악마와의 토크쇼 (2024),공포,7.0,97.0,15,"호주, 아랍에미리트, 미국",Netplix
"시몬 바일스, 더 높이 뛰어올라 (2024)","다큐멘터리, 스포츠",7.3,100.0,15,미국,Netplix
스턴트맨 (2024),"코미디, 드라마, 로맨스, 액션",6.9,82.0,15,"미국, 호주, 캐나다",Netplix
카오스 (2024),"코미디, 드라마, 판타지, SF",7.4,76.0,15,영국,Netplix
러브 라이즈 블리딩 (2024),"로맨스, 범죄, 스릴러, 액션",6.6,94.0,전체 이용가,"영국, 미국",Netplix
원 데이 (2024),"로맨스, 코미디, 드라마",8.1,92.0,19,영국,Netplix
TALJU (2024),"스릴러, 액션, 드라마",6.4,69.0,전체 이용가,대한민국,Netplix
RIPLEY (2024),"드라마, 스릴러, 범죄",8.1,86.0,19,미국,Netplix
